player_id,mu,sigma,conservative(mu-3.0σ),elo(mu≈),elo_conservative(mu-3.0σ≈)
4,50.459545,0.000032,50.459450,2398.23,2398.22
12,46.169235,0.000032,46.169140,2196.31,2196.30
19,45.324888,0.000032,45.324793,2156.57,2156.57
11,42.606331,0.000032,42.606236,2028.62,2028.62
20,40.662198,0.000032,40.662103,1937.13,1937.12
13,39.891830,0.000032,39.891735,1900.87,1900.86
14,38.968189,0.000032,38.968094,1857.40,1857.39
9,36.262252,0.000032,36.262157,1730.05,1730.04
3,35.409915,0.000032,35.409820,1689.93,1689.93
6,32.964459,0.000032,32.964364,1574.84,1574.83
1,32.935676,0.138773,32.519357,1573.48,1553.89
15,31.563257,0.000032,31.563162,1508.89,1508.89
17,30.424697,0.000032,30.424602,1455.31,1455.30
5,28.553430,0.000032,28.553335,1367.24,1367.23
7,13.500234,0.000032,13.500139,658.78,658.77
2,13.134718,0.099172,12.837203,641.57,627.57
10,11.004834,0.000032,11.004739,541.33,541.33
18,10.224525,0.000032,10.224430,504.61,504.60
16,7.591470,0.000032,7.591376,380.68,380.68
8,6.910472,0.000032,6.910377,348.63,348.63
