player,bt_rating,elo,wins
1,-0.09829377201797647,1182.9246228828547,8
2,0.005536849536201112,1200.9618492802804,9
3,0.09349079668700472,1216.241014843962,12
4,0.002330870277780459,1200.404913639869,10
5,0.0760033172743015,1213.2031285194284,17
6,-0.0077947702330217455,1198.645909720038,11
7,-0.13110220482538337,1177.2252143515946,12
8,0.06110522301172609,1210.6150644677841,15
9,-0.05468675705070229,1190.4999372718785,9
10,-0.038278273103650076,1193.3503828857197,8
11,0.009794616046612224,1201.701499080562,13
12,-0.003599616734527265,1199.3746825260912,12
13,0.010795557642097454,1201.8753804452126,12
14,0.030911771743490708,1205.3699247576203,10
15,-0.027861522411066056,1195.1599578237801,11
16,-0.0037747253528606106,1199.3442630434208,10
17,-0.044207023244438114,1192.3204534974286,14
18,-0.016141475453601048,1197.1959385122898,8
19,-0.04865251374421928,1191.5481927000653,12
20,0.05114126497177437,1208.8841476699174,10
21,-0.025639691562535868,1195.5459293746758,6
22,-0.0921496450329508,1183.9919670611384,8
23,-0.08891656614609186,1184.5536103891868,10
24,0.011749979918735817,1202.0411805764725,11
25,-0.0728059257990825,1187.3523152702403,6
26,0.03163700682195766,1205.4959109946847,11
27,-0.08750317929286394,1184.7991408336472,5
28,-0.041857431341412815,1192.728619416712,8
29,-0.0013922792920817268,1199.7581363144723,8
30,0.050516153690578235,1208.7755547179179,17
31,0.06813236747047681,1211.835804492573,14
32,-0.0640013073199831,1188.881834158535,6
33,0.09665487581193605,1216.7906716856671,16
34,-0.07730985147856852,1186.569903242439,10
35,0.11991894185918177,1220.8320538900477,17
36,-0.02106588231441097,1196.3404814217713,7
37,0.09774756272532491,1216.9804908444403,12
38,0.09015486037872317,1215.661503351695,14
39,-0.04164291594915291,1192.7658845571689,10
40,-0.03553591305145163,1193.8267796209443,7
41,-0.062432021384344706,1189.1544470474853,6
42,0.10549946069366661,1218.3271334492113,16
43,0.059287144986586535,1210.299231966189,16
44,0.020442078622565182,1203.551152777765,10
45,-0.0254822766858161,1195.5732751396072,7
46,-0.013522421139380465,1197.650914846878,10
47,-0.020326848647030674,1196.4688647192447,5
48,-0.08357956589158122,1185.4807422933668,12
49,-0.016533567484023858,1197.1278251502054,6
50,0.06184692919620741,1210.7439120290296,17
51,-0.03345886315246112,1194.187600144852,10
52,-0.11064176313546387,1180.7795571208885,9
53,-0.05747009729790335,1190.0164215476311,10
54,-0.06820637269229322,1188.1513394836402,8
55,0.01978817705191005,1203.4375584402276,9
56,-0.0515088094950524,1191.0520033067571,14
57,0.10064007405515149,1217.4829715281949,14
58,0.03328632717301423,1205.7824272856265,13
59,0.018024308974580756,1203.131143171112,12
60,-0.02376673791127425,1195.871294748917,9
61,0.10999360980714401,1219.1078471135447,17
62,-0.0033058752269903677,1199.425710652423,12
63,0.12245725032692807,1221.273003234412,19
64,0.13507710089288155,1223.4652958197069,19
65,-0.052735839389070165,1190.8388463819163,9
66,0.037667245797566806,1206.5434707993506,16
67,0.04681514702876677,1208.1326240096332,10
68,0.012099312993610105,1202.101865947178,13
69,-0.02010571744624313,1196.5072791433563,12
70,-0.09352531407005538,1183.7529888724425,9
71,0.023233434969438697,1204.0360610411542,14
72,0.10069853635200575,1217.493127469364,14
73,-0.11514090587642099,1179.9979759746116,4
74,0.002189668955669302,1200.3803844578567,7
75,0.030094207150145314,1205.2278992410245,14
76,-0.10804702682447773,1181.2303089856307,13
77,-0.004559080172806753,1199.2080066553583,12
78,0.01927699844392659,1203.348757620742,11
79,0.04914854520354425,1208.5379767901886,11
80,0.014818266826257203,1202.5741966056055,15
81,-0.03157446091244158,1194.5149543426626,12
82,-0.009570207288869158,1198.3374847135096,14
83,0.05635116423519704,1209.7891998704679,11
84,-0.04302221741391316,1192.5262753511581,9
85,-0.007523112377591472,1198.6931015230696,10
86,-0.056513012043410873,1190.182684285526,9
87,0.05225119162399213,1209.0769616780676,14
88,-0.024785765340290956,1195.6942715531852,9
89,-0.023980319504966385,1195.8341918258864,10
90,-0.062304698813178926,1189.176565243517,6
91,-0.030209750660177302,1194.7520287954449,11
92,-0.025092656919840715,1195.6409590253686,5
93,0.11631495885272129,1220.2059779170163,13
94,-0.03608677419133108,1193.7310852396065,10
95,0.01981015834100744,1203.4413769812518,11
96,0.03300655820393709,1205.7338264378354,9
97,0.06814077898482684,1211.8372657222797,17
98,0.016819299745536163,1202.9218116275852,9
99,0.027020234389277087,1204.6938954779982,12
100,0.01950513639476963,1203.3883892420074,9
