player_no,bt_rating,elo_rating,wins
1,0.164520,1228.6,97
2,-0.550297,1104.4,103
3,0.368679,1264.0,112
4,0.034243,1205.9,102
5,0.065551,1211.4,85
6,0.550412,1295.6,123
7,-0.384499,1133.2,80
8,-0.215801,1162.5,93
9,0.053237,1209.2,95
10,0.514411,1289.4,106
11,-0.305115,1147.0,107
12,-0.099854,1182.7,85
13,-0.057854,1189.9,103
14,-0.010883,1198.1,101
15,-0.021668,1196.2,112
16,-0.112336,1180.5,106
17,0.215613,1237.5,104
18,-0.045667,1192.1,95
19,-0.136866,1176.2,98
20,-0.025824,1195.5,93
