player_no,bt_rating,elo_rating,wins
1,0.072741,1212.6,97
2,-0.290924,1149.5,103
3,0.541421,1294.1,112
4,-0.191051,1166.8,102
5,-0.150491,1173.9,85
6,0.413421,1271.8,123
7,-0.177625,1169.1,80
8,-0.155817,1172.9,93
9,0.132771,1223.1,95
10,0.039430,1206.8,106
11,-0.184573,1167.9,107
12,-0.072071,1187.5,85
13,0.056397,1209.8,103
14,0.006714,1201.2,101
15,-0.188883,1167.2,112
16,0.332642,1257.8,106
17,0.046937,1208.2,104
18,-0.029540,1194.9,95
19,-0.350919,1139.0,98
20,0.149420,1226.0,93
