player_no,bt_rating,elo_rating,wins
1,-0.001544,1199.7,97
2,-0.089319,1184.5,103
3,0.258263,1244.9,112
4,0.026455,1204.6,102
5,-0.149226,1174.1,85
6,0.313235,1254.4,123
7,-0.261210,1154.6,80
8,-0.017346,1197.0,93
9,0.041031,1207.1,95
10,0.037211,1206.5,106
11,-0.043724,1192.4,107
12,-0.146808,1174.5,85
13,0.023034,1204.0,103
14,-0.030099,1194.8,101
15,0.135016,1223.5,112
16,0.103658,1218.0,106
17,-0.004127,1199.3,104
18,-0.094327,1183.6,95
19,-0.034021,1194.1,98
20,-0.066152,1188.5,93
