player_no,bt_rating,elo_rating,wins
1,-0.000947,1199.8,97
2,-0.073666,1187.2,103
3,0.259071,1245.0,112
4,0.037170,1206.5,102
5,-0.131325,1177.2,85
6,0.304928,1253.0,123
7,-0.274874,1152.2,80
8,-0.002619,1199.5,93
9,0.055839,1209.7,95
10,0.044478,1207.7,106
11,-0.072578,1187.4,107
12,-0.159302,1172.3,85
13,0.018354,1203.2,103
14,-0.002271,1199.6,101
15,0.135794,1223.6,112
16,0.108050,1218.8,106
17,-0.007676,1198.7,104
18,-0.100879,1182.5,95
19,-0.053212,1190.8,98
20,-0.084336,1185.3,93
