player_no,bt_rating,elo_rating,wins
1,-0.003595,1199.4,97
2,-0.073104,1187.3,103
3,0.244773,1242.5,112
4,0.016244,1202.8,102
5,-0.143781,1175.0,85
6,0.319046,1255.4,123
7,-0.230067,1160.0,80
8,-0.008645,1198.5,93
9,0.067931,1211.8,95
10,0.040644,1207.1,106
11,-0.070912,1187.7,107
12,-0.154040,1173.2,85
13,0.016573,1202.9,103
14,-0.017484,1197.0,101
15,0.135993,1223.6,112
16,0.099092,1217.2,106
17,-0.004910,1199.1,104
18,-0.097299,1183.1,95
19,-0.053385,1190.7,98
20,-0.083075,1185.6,93
