player_no,bt_rating,elo_rating,wins
1,-0.534727,1107.1,97
2,0.346846,1260.3,103
3,0.452861,1278.7,112
4,0.017612,1203.1,102
5,-0.294605,1148.8,85
6,0.375639,1265.3,123
7,-0.361884,1137.1,80
8,0.162969,1228.3,93
9,0.243523,1242.3,95
10,-0.018782,1196.7,106
11,-0.162532,1171.8,107
12,-0.204512,1164.5,85
13,0.344678,1259.9,103
14,0.058227,1210.1,101
15,-0.219220,1161.9,112
16,0.316719,1255.0,106
17,0.029356,1205.1,104
18,-0.179746,1168.8,95
19,-0.051640,1191.0,98
20,-0.320784,1144.3,93
