player_no,bt_rating,elo_rating,wins
1,0.047360,1208.2,97
2,-0.018854,1196.7,103
3,0.153241,1226.6,112
4,0.049925,1208.7,102
5,-0.136873,1176.2,85
6,0.222049,1238.6,123
7,-0.230422,1160.0,80
8,-0.007931,1198.6,93
9,0.092681,1216.1,95
10,0.057873,1210.1,106
11,-0.059373,1189.7,107
12,-0.091724,1184.1,85
13,-0.008806,1198.5,103
14,-0.029130,1194.9,101
15,0.119440,1220.7,112
16,0.079042,1213.7,106
17,0.032610,1205.7,104
18,-0.102583,1182.2,95
19,-0.047120,1191.8,98
20,-0.121405,1178.9,93
