player_no,bt_rating,elo_rating,wins
1,0.013501,1202.3,97
2,-0.077328,1186.6,103
3,0.238072,1241.4,112
4,0.018255,1203.2,102
5,-0.122301,1178.8,85
6,0.297214,1251.6,123
7,-0.234326,1159.3,80
8,-0.010079,1198.2,93
9,0.062242,1210.8,95
10,0.030185,1205.2,106
11,-0.069529,1187.9,107
12,-0.127268,1177.9,85
13,0.001762,1200.3,103
14,-0.015668,1197.3,101
15,0.120511,1220.9,112
16,0.097936,1217.0,106
17,-0.003464,1199.4,104
18,-0.097898,1183.0,95
19,-0.070139,1187.8,98
20,-0.051679,1191.0,93
