player_no,bt_rating,elo_rating,wins
1,-0.034637,1194.0,97
2,-0.077213,1186.6,103
3,0.179476,1231.2,112
4,-0.031529,1194.5,102
5,-0.050160,1191.3,85
6,0.264665,1246.0,123
7,-0.206066,1164.2,80
8,0.039968,1206.9,93
9,0.025120,1204.4,95
10,-0.012788,1197.8,106
11,-0.037028,1193.6,107
12,-0.121765,1178.8,85
13,0.023802,1204.1,103
14,0.018383,1203.2,101
15,0.076829,1213.3,112
16,0.013717,1202.4,106
17,0.023034,1204.0,104
18,-0.062740,1189.1,95
19,0.016046,1202.8,98
20,-0.047114,1191.8,93
