player_no,bt_rating,elo_rating,wins
1,0.041699,1207.2,97
2,-0.078433,1186.4,103
3,0.125889,1221.9,112
4,0.050377,1208.8,102
5,-0.110964,1180.7,85
6,0.223645,1238.9,123
7,-0.184870,1167.9,80
8,-0.040109,1193.0,93
9,0.052915,1209.2,95
10,0.074109,1212.9,106
11,-0.054471,1190.5,107
12,-0.102409,1182.2,85
13,-0.002990,1199.5,103
14,-0.071866,1187.5,101
15,0.144346,1225.1,112
16,0.076705,1213.3,106
17,-0.060217,1189.5,104
18,-0.081597,1185.8,95
19,-0.028873,1195.0,98
20,0.027113,1204.7,93
