player_no,bt_rating,elo_rating,wins
1,-0.051486,1191.1,97
2,-0.057628,1190.0,103
3,0.223117,1238.8,112
4,0.023768,1204.1,102
5,-0.073292,1187.3,85
6,0.238769,1241.5,123
7,-0.145726,1174.7,80
8,0.026462,1204.6,93
9,-0.003411,1199.4,95
10,0.009416,1201.6,106
11,-0.043621,1192.4,107
12,-0.079630,1186.2,85
13,0.036812,1206.4,103
14,-0.061270,1189.4,101
15,0.137547,1223.9,112
16,0.056060,1209.7,106
17,-0.024162,1195.8,104
18,-0.127749,1177.8,95
19,-0.037494,1193.5,98
20,-0.046481,1191.9,93
