player_no,bt_rating,elo_rating,wins
1,-0.141371,1175.4,97
2,-0.150468,1173.9,103
3,0.461693,1280.2,112
4,0.097449,1216.9,102
5,-0.085542,1185.1,85
6,0.742991,1329.1,123
7,-0.469646,1118.4,80
8,-0.239620,1158.4,93
9,-0.072109,1187.5,95
10,0.279642,1248.6,106
11,-0.299463,1148.0,107
12,0.097021,1216.9,85
13,-0.110619,1180.8,103
14,-0.107907,1181.3,101
15,0.283520,1249.3,112
16,0.275464,1247.9,106
17,-0.016290,1197.2,104
18,-0.032383,1194.4,95
19,-0.254050,1155.9,98
20,-0.258311,1155.1,93
