player_no,bt_rating,elo_rating,wins
1,0.068009,1211.8,97
2,0.187992,1232.7,103
3,0.398939,1269.3,112
4,-0.014152,1197.5,102
5,-0.174361,1169.7,85
6,0.330948,1257.5,123
7,0.198369,1234.5,80
8,-0.207694,1163.9,93
9,0.096803,1216.8,95
10,-0.119867,1179.2,106
11,-0.350013,1139.2,107
12,-0.027692,1195.2,85
13,-0.042230,1192.7,103
14,0.102042,1217.7,101
15,-0.084854,1185.3,112
16,0.245517,1242.7,106
17,-0.291999,1149.3,104
18,-0.301304,1147.7,95
19,-0.135679,1176.4,98
20,0.121226,1221.1,93
