player_no,bt_rating,elo_rating,wins
1,-0.005233,1199.1,97
2,-0.096415,1183.3,103
3,0.243389,1242.3,112
4,0.011228,1202.0,102
5,-0.119572,1179.2,85
6,0.291078,1250.6,123
7,-0.229951,1160.1,80
8,-0.016664,1197.1,93
9,0.052488,1209.1,95
10,0.036914,1206.4,106
11,-0.045944,1192.0,107
12,-0.162642,1171.7,85
13,0.020594,1203.6,103
14,-0.011044,1198.1,101
15,0.128239,1222.3,112
16,0.112759,1219.6,106
17,0.015568,1202.7,104
18,-0.125999,1178.1,95
19,-0.033852,1194.1,98
20,-0.064942,1188.7,93
