player_no,bt_rating,elo_rating,wins
1,0.322184,1256.0,97
2,-0.010400,1198.2,103
3,0.212577,1236.9,112
4,-0.216322,1162.4,102
5,-0.146612,1174.5,85
6,0.439515,1276.4,123
7,-0.214207,1162.8,80
8,0.073210,1212.7,93
9,0.180270,1231.3,95
10,-0.181107,1168.5,106
11,-0.165170,1171.3,107
12,-0.070762,1187.7,85
13,0.026061,1204.5,103
14,0.071983,1212.5,101
15,0.119402,1220.7,112
16,-0.054438,1190.5,106
17,0.171727,1229.8,104
18,-0.148682,1174.2,95
19,-0.385332,1133.1,98
20,-0.023898,1195.8,93
