player_no,bt_rating,elo_rating,wins
1,-0.007103,1198.8,97
2,-0.073848,1187.2,103
3,0.244435,1242.5,112
4,0.010621,1201.8,102
5,-0.145536,1174.7,85
6,0.320023,1255.6,123
7,-0.281767,1151.1,80
8,-0.020984,1196.4,93
9,0.054868,1209.5,95
10,0.076056,1213.2,106
11,-0.059811,1189.6,107
12,-0.122879,1178.7,85
13,-0.006245,1198.9,103
14,-0.001397,1199.8,101
15,0.147672,1225.7,112
16,0.098968,1217.2,106
17,-0.011233,1198.0,104
18,-0.098920,1182.8,95
19,-0.061947,1189.2,98
20,-0.060971,1189.4,93
