player_no,bt_rating,elo_rating,wins
1,0.049172,1208.5,97
2,-0.012995,1197.7,103
3,0.162422,1228.2,112
4,0.009283,1201.6,102
5,-0.081739,1185.8,85
6,0.183894,1231.9,123
7,-0.164221,1171.5,80
8,-0.048107,1191.6,93
9,0.039293,1206.8,95
10,0.043014,1207.5,106
11,-0.040098,1193.0,107
12,-0.169388,1170.6,85
13,0.038259,1206.6,103
14,-0.006987,1198.8,101
15,0.098183,1217.1,112
16,0.035710,1206.2,106
17,-0.009320,1198.4,104
18,-0.053347,1190.7,95
19,-0.000823,1199.9,98
20,-0.072202,1187.5,93
