player_no,bt_rating,elo_rating,wins
1,-0.384259,1133.2,97
2,-0.260297,1154.8,103
3,0.597007,1303.7,112
4,0.080686,1214.0,102
5,-0.052057,1191.0,85
6,0.509524,1288.5,123
7,-0.102726,1182.2,80
8,0.075809,1213.2,93
9,0.013991,1202.4,95
10,-0.376089,1134.7,106
11,-0.132623,1177.0,107
12,0.108861,1218.9,85
13,0.198317,1234.5,103
14,-0.141938,1175.3,101
15,-0.208817,1163.7,112
16,0.095752,1216.6,106
17,0.022243,1203.9,104
18,0.115063,1220.0,95
19,0.075873,1213.2,98
20,-0.234321,1159.3,93
