player_no,bt_rating,elo_rating,wins
1,-0.037698,1193.5,97
2,-0.071672,1187.5,103
3,0.182358,1231.7,112
4,0.038699,1206.7,102
5,-0.089799,1184.4,85
6,0.215985,1237.5,123
7,-0.172352,1170.1,80
8,0.015365,1202.7,93
9,0.021598,1203.8,95
10,-0.031083,1194.6,106
11,-0.035623,1193.8,107
12,-0.117299,1179.6,85
13,-0.007974,1198.6,103
14,-0.005476,1199.0,101
15,0.117554,1220.4,112
16,0.093677,1216.3,106
17,0.035236,1206.1,104
18,-0.095280,1183.4,95
19,-0.047804,1191.7,98
20,-0.008413,1198.5,93
