player_no,bt_rating,elo_rating,wins
1,0.328416,1257.1,97
2,-0.103545,1182.0,103
3,0.104959,1218.2,112
4,0.432890,1275.2,102
5,-0.036858,1193.6,85
6,0.002102,1200.4,123
7,-0.365062,1136.6,80
8,-0.004614,1199.2,93
9,-0.030436,1194.7,95
10,-0.086631,1185.0,106
11,0.209046,1236.3,107
12,-0.153522,1173.3,85
13,-0.015127,1197.4,103
14,0.307714,1253.5,101
15,0.051443,1208.9,112
16,0.064041,1211.1,106
17,-0.174606,1169.7,104
18,-0.457565,1120.5,95
19,0.190870,1233.2,98
20,-0.263516,1154.2,93
