player_no,bt_rating,elo_rating,wins
1,-0.006188,1198.9,97
2,-0.099437,1182.7,103
3,0.257536,1244.7,112
4,0.004063,1200.7,102
5,-0.145409,1174.7,85
6,0.297847,1251.7,123
7,-0.241707,1158.0,80
8,0.016556,1202.9,93
9,0.058617,1210.2,95
10,0.060430,1210.5,106
11,-0.050545,1191.2,107
12,-0.151653,1173.7,85
13,0.009476,1201.6,103
14,-0.023795,1195.9,101
15,0.135395,1223.5,112
16,0.097273,1216.9,106
17,-0.009547,1198.3,104
18,-0.091104,1184.2,95
19,-0.060512,1189.5,98
20,-0.057297,1190.0,93
