player,rating,elo,wins
RWKV-4-Raven-14B,0.01730958363197972,1203.0069826621645,1880
alpaca-13b,0.08571326515130909,1214.8899192324495,2292
chatglm-6b,-0.06400695264404772,1188.880853465299,1627
claude-instant-v1,-0.06399588233733704,1188.882776574546,1281
claude-v1,0.032181629942349264,1205.590521721046,1941
dolly-v2-12b,0.03434390460925621,1205.9661473035246,1408
fastchat-t5-3b,0.08842711399651734,1215.361363063727,1697
gpt-3.5-turbo,0.027001665488088626,1204.6906697294698,2351
gpt-4,0.019942328476042742,1203.464337285379,2135
gpt4all-13b-snoozy,-0.09308640920620785,1183.8292344566223,512
guanaco-33b,-0.06880080169849143,1188.04807658873,496
koala-13b,0.003929899615873705,1200.682693487043,2779
llama-13b,0.04259336859711394,1207.399225978959,1034
mpt-7b-chat,-0.025720320732312684,1195.53192265327,1431
oasst-pythia-12b,-0.008744609973699982,1198.4809056568104,2462
palm-2,-0.058039677977842596,1189.9174752491126,1421
stablelm-tuned-alpha-7b,0.0996493826965029,1217.3108708120626,1429
vicuna-13b,-0.02485565923160629,1195.6821297406584,2901
vicuna-7b,-0.0213588623248082,1196.2895855810418,1372
wizardlm-13b,-0.022482966078679785,1196.0943087580845,551
