player,bt_rating,elo,wins
93,0.7628857901398571,1332.5268355920568,13
63,0.7548039854695658,1331.1228823232059,19
64,0.7505413446870922,1330.3823857751402,19
3,0.7341459598382482,1327.534215707727,12
42,0.6778199421145837,1317.749384233738,16
35,0.616712010872581,1307.1338492981681,17
37,0.6131275989698628,1306.5111731740806,12
57,0.5917499585214776,1302.7974966609424,14
5,0.5597661252575058,1297.2413357422797,17
61,0.5166788613821727,1289.7563113657332,17
33,0.4750416975179214,1282.5231951623948,16
8,0.4693291070688729,1281.5308165586368,15
72,0.41989871765515685,1272.9438784143545,14
38,0.4098486157042,1271.1979968864082,14
20,0.4028876198447197,1269.9887480502787,10
97,0.38621723131299057,1267.0928049500735,17
31,0.37045967277361175,1264.3554366613055,14
43,0.35651212905956053,1261.932500152859,16
87,0.3432889166445456,1259.6353928789085,14
67,0.3155802936477938,1254.821912051458,10
66,0.3008668867669255,1252.2659314841144,16
50,0.26797252705262004,1246.5515959202492,17
14,0.24978983937769061,1243.3929395508922,10
83,0.23311421182643058,1240.4960863397778,11
58,0.23128396227804,1240.178139428029,13
30,0.22431323525398553,1238.9672001154688,17
100,0.2063320344893579,1235.8435456074399,9
75,0.18942034813438471,1232.9056847819825,14
44,0.1748652651541078,1230.377207893191,10
99,0.17457186069007394,1230.326238317313,12
55,0.17283291997188263,1230.024153374006,9
96,0.16728003501849473,1229.059518456446,9
80,0.15576053793422506,1227.0583768492465,15
79,0.1265433528265348,1221.9828319416401,11
78,0.11859330417229577,1220.6017670370807,11
98,0.11523769445383861,1220.018837923422,9
24,0.11215871682592055,1219.4839647259387,11
95,0.10923163716112239,1218.9754789073334,11
77,0.09278043705513808,1216.1176127366473,12
2,0.08805641509921144,1215.2969660695078,9
59,0.08254109817806951,1214.338857387588,12
11,0.08048962357846098,1213.9824797482381,13
71,0.0723168814303107,1212.5627290214543,14
62,0.061351875607463885,1210.6579124122945,12
13,0.028288606205814262,1204.9142342303676,12
68,0.02520553253394902,1204.3786494771707,13
74,-0.01206009116471454,1197.9049475823658,7
26,-0.02110704896699447,1196.333330041749,11
85,-0.037208186130681414,1193.5362760327264,10
4,-0.04331122455191245,1192.4760696690528,10
16,-0.0587835432383724,1189.7882526179415,10
82,-0.05960521156017544,1189.6455142106959,14
29,-0.06504982323398684,1188.699688288279,8
89,-0.06810881487760434,1188.1682870118746,10
69,-0.07031452533934923,1187.7851158589897,12
81,-0.07455760987358234,1187.048016579203,12
18,-0.08700052580359127,1184.8864606883276,8
6,-0.09126277653401885,1184.1460318992424,11
60,-0.10322400839570528,1182.068153101524,9
17,-0.10637637790872784,1181.5205304277538,14
12,-0.12694126626968805,1177.9480434133052,12
49,-0.13003331602967222,1177.4108993538928,6
36,-0.1353236842048059,1176.4918682716138,7
15,-0.15062153018123126,1173.834360234587,11
91,-0.15486477649925823,1173.0972328500768,11
88,-0.1577783425529563,1172.591094586164,9
47,-0.18670800338942975,1167.5654977603187,5
19,-0.18732510662392285,1167.4582959485167,12
46,-0.1964906968998743,1165.866069836424,10
94,-0.2019632100338813,1164.9153969339272,10
21,-0.20582311196454606,1164.244863290257,6
92,-0.21967042383907046,1161.8393388357372,5
51,-0.22062071956350868,1161.6742555600174,10
56,-0.22640729325798784,1160.6690247501617,14
65,-0.26979595915840937,1153.131641479083,9
28,-0.2730155233572582,1152.5723458928057,8
45,-0.29019911910873186,1149.5872495671572,7
10,-0.2974592381853575,1148.3260377059817,8
86,-0.2977119585794962,1148.2821356769261,9
9,-0.29782028675326633,1148.2633171456848,9
40,-0.30912818300213635,1146.2989343685574,7
84,-0.3210927969940423,1144.2204680346426,9
53,-0.3223809157963113,1143.9966988794981,10
39,-0.32279580440171324,1143.9246253467259,10
34,-0.3837678150563009,1133.3327022355923,10
32,-0.39414288075507586,1131.5303687226476,6
23,-0.3943399866452945,1131.4961279224585,10
48,-0.40485773438968875,1129.6690079994823,12
76,-0.40539050391414944,1129.5764564536425,13
54,-0.4147855225624803,1127.9443745511032,8
90,-0.43388415202883196,1124.6266027954427,6
41,-0.47280154694415566,1117.8659588507328,6
25,-0.519745601176691,1109.71094136619,6
70,-0.5288846004105929,1108.1233345912292,9
7,-0.5383888607676323,1106.4722754601758,12
52,-0.5422099440070038,1105.8084853138748,9
22,-0.5532039272769851,1103.8986348065591,8
1,-0.5643534151891901,1101.961770376032,8
27,-0.5825784534471901,1098.7957569568619,5
73,-0.8552184387614333,1051.433340489598,4
