player_no,bt_rating,elo_rating,wins
1,0.016749,1202.9,97
2,-0.100865,1182.5,103
3,0.188257,1232.7,112
4,0.060985,1210.6,102
5,-0.142515,1175.2,85
6,0.283219,1249.2,123
7,-0.217810,1162.2,80
8,-0.043302,1192.5,93
9,0.062354,1210.8,95
10,-0.034431,1194.0,106
11,-0.058310,1189.9,107
12,-0.048696,1191.5,85
13,0.036209,1206.3,103
14,0.000345,1200.1,101
15,0.098223,1217.1,112
16,0.007807,1201.4,106
17,-0.008803,1198.5,104
18,-0.124117,1178.4,95
19,0.023325,1204.1,98
20,0.001374,1200.2,93
