player,bt_rating,elo,wins
1,-0.0014328506250853121,1199.7510883520536,97
2,-0.08178401706880577,1185.7926610716545,103
3,0.2546601189175091,1244.2389937626801,112
4,0.011513966456161564,1202.0001808386921,102
5,-0.13900954610443236,1175.8515684779877,85
6,0.3128938053571526,1254.3552212353286,123
7,-0.24826252277543093,1156.8723825181,80
8,-0.008878930899811597,1198.4575717220046,93
9,0.0656823768137343,1211.410197523398,95
10,0.0400724835491387,1206.9613033926198,106
11,-0.0634621330549912,1188.9754983217629,107
12,-0.1495809719215812,1174.0151237186928,85
13,0.014777112208127306,1202.567047316182,103
14,-0.015253944638493624,1197.3501184064978,101
15,0.1340923983913875,1223.2942354746208,112
16,0.09828353562707107,1217.0735988739114,106
17,0.004908930044973748,1200.8527684922324,104
18,-0.10077116288838217,1182.4942560090408,95
19,-0.06356249197195832,1188.9580641922234,98
20,-0.06488615541628351,1188.7281203003165,93
