player,rating,elo,wins
RWKV-4-Raven-14B,-0.06968550326087655,1187.89438818606,878
alpaca-13b,-0.3787884617509224,1134.1977045011813,1118
chatglm-6b,-0.48859423467697766,1115.1224879960184,649
claude-instant-v1,1.4486163540650172,1451.6504355860977,1493
claude-v1,1.6191377919221999,1481.2730433891306,2390
dolly-v2-12b,-1.669632369667263,909.955150018583,443
fastchat-t5-3b,-1.0479691011780463,1017.9491208613056,611
gpt-3.5-turbo,0.8459420242502902,1346.9551812567872,2524
gpt-4,1.6255588222813602,1482.3884906103774,2888
gpt4all-13b-snoozy,-0.4703971441190967,1118.283646402411,252
guanaco-33b,0.38299829598008556,1266.5336186089999,436
koala-13b,0.3684842268135907,1264.0122665494114,1901
llama-13b,-1.317058278452265,971.2035429292739,304
mpt-7b-chat,-0.16574698062418097,1171.2068003691172,671
oasst-pythia-12b,-0.6617999601274173,1085.0335716771483,1150
palm-2,-0.04267223488725694,1192.587073543194,1125
stablelm-tuned-alpha-7b,-1.0889763638612329,1010.8254297007995,485
vicuna-13b,0.5795551298583477,1300.679037942481,2667
vicuna-7b,0.33479589436499996,1258.1600037946334,883
wizardlm-13b,0.19623209306964517,1234.0890060769889,426
